;"LFP";"WHRS";"KL6";"K618";"AGE";"EDUC";"WW";"RPWG";"HHRS";"HA";"HE";"HW";"FAMINC";"MTR";"WMED";"WFED";"UN";"CIT";"AX";"AGE2";"KIDS";"INC"
"1-1";1;1610;1;0;32;12;3,354;2,65;2708;34;12;4,0288;16310;0,7215;12;7;5;0;14;1024;1;16,31
"2-1";1;1656;0;2;30;12;1,3889;2,65;2310;30;9;8,4416;21800;0,6615;7;7;11;1;5;900;1;21,8
"3-1";1;1980;1;3;35;12;4,5455;4,04;3072;40;12;3,5807;21040;0,6915;12;7;5;0;15;1225;1;21,04
"4-1";1;456;0;3;34;12;1,0965;3,25;1920;53;10;3,5417;7300;0,7815;7;7;5;0;6;1156;1;7,3
"5-1";1;1568;1;2;31;14;4,5918;3,6;2000;32;12;10;27300;0,6215;12;14;9,5;1;7;961;1;27,3
"6-1";1;2032;0;0;54;12;4,7421;4,7;1040;57;11;6,7106;19495;0,6915;14;7;7,5;1;33;2916;0;19,495
"7-1";1;1440;0;2;37;16;8,3333;5,95;2670;37;12;3,4277;21152;0,6915;14;7;5;0;11;1369;1;21,152
"8-1";1;1020;0;0;54;12;7,8431;9,98;4120;53;8;2,5485;18900;0,6915;3;3;5;0;35;2916;0;18,9
"9-1";1;1458;0;2;48;12;2,1262;0;1995;52;4;4,2206;20405;0,7515;7;7;3;0;24;2304;1;20,405
"10-1";1;1600;0;2;39;12;4,6875;4,15;2100;43;12;5,7143;20425;0,6915;7;7;5;0;21;1521;1;20,425
"11-1";1;1969;0;1;33;12;4,063;4,3;2450;34;12;9,7959;32300;0,5815;12;3;5;0;15;1089;1;32,3
"12-1";1;1960;0;1;42;11;4,5918;4,58;2375;47;14;8;28700;0,6215;14;7;5;0;14;1764;1;28,7
"13-1";1;240;1;2;30;12;2,0833;0;2830;33;16;5,3004;15500;0,7215;16;16;5;0;0;900;1;15,5
"14-1";1;997;0;2;43;12;2,2668;3,5;3317;46;12;4,3413;16860;0,7215;10;10;7,5;1;14;1849;1;16,86
"15-1";1;1848;0;1;43;10;3,6797;3,38;2024;45;17;10,87;31431;0,5815;7;7;7,5;1;6;1849;1;31,431
"16-1";1;1224;0;3;35;11;1,3472;0;1694;38;12;9,1499;19180;0,7215;16;10;7,5;1;9;1225;1;19,18
"17-1";1;1400;0;2;43;12;3,2143;4;2156;45;12;6,1224;18600;0,6915;10;7;7,5;1;20;1849;1;18,6
"18-1";1;640;0;5;39;12;5,175;2,25;2250;40;12;6,1498;19151;0,7215;12;12;7,5;1;6;1521;1;19,151
"19-1";1;2000;0;0;45;12;2;2,3;2024;51;11;6,917;18100;0,6915;7;7;5;1;23;2025;0;18,1
"20-1";1;1324;0;4;35;12;7,5529;3,94;2123;40;10;4,7103;20300;0,6915;12;7;5;0;9;1225;1;20,3
"21-1";1;2215;0;2;42;16;3,5052;3,3;4160;48;16;3,131;30419;0,6215;10;16;7,5;0;5;1764;1;30,419
"22-1";1;1680;0;0;30;12;3,5714;3,8;2000;35;12;4;14090;0,7215;12;10;3;0;11;900;0;14,09
"23-1";1;1600;0;0;48;13;3,25;3,26;2420;52;17;7,2227;22679;0,6615;7;3;5;1;18;2304;0;22,679
"24-1";1;800;0;0;45;12;3,25;2,2;1150;53;17;7,9652;12160;0,7215;7;7;11;0;15;2025;0;12,16
"25-1";1;1955;1;1;31;12;2,1545;2,3;2024;31;12;4,0884;12487;0,7515;12;7;5;1;4;961;1;12,487
"26-1";1;660;0;2;43;17;3,7879;0;1904;43;17;14,181;29850;0,5815;16;14;9,5;1;21;1849;1;29,85
"27-1";1;525;0;0;59;12;4;3,18;2448;53;16;6,5359;18100;0,6915;3;7;9,5;1;31;3481;0;18,1
"28-1";1;1904;0;3;32;12;4,7269;6,07;2000;33;13;8,5;26000;0,6615;3;7;11;1;9;1024;1;26
"29-1";1;1516;1;0;31;17;7,2559;6;2390;30;17;6,2762;26100;0,6215;12;12;5;0;7;961;1;26,1
"30-1";1;346;0;0;42;12;5,8671;6,39;1920;47;10;5,2083;17730;0,7215;12;12;9,5;0;7;1764;0;17,73
"31-1";1;1040;0;0;50;11;1,5385;0;1840;53;10;2,7821;6719;0,7515;7;7;7,5;1;32;2500;0;6,719
"32-1";1;732;0;0;59;16;2,459;2,5;3360;57;17;4,9107;18550;0,6915;3;3;14;1;11;3481;0;18,55
"33-1";1;1880;0;2;36;13;5,8511;5,2;2284;35;13;5,8669;24600;0,6615;12;10;7,5;0;16;1296;1;24,6
"34-1";1;1680;0;1;51;12;3,5714;3,29;1875;50;8;7,52;23100;0,6915;7;14;5;1;14;2601;1;23,1
"35-1";1;2081;0;3;45;16;3,8068;4,19;2140;47;17;7,5449;24656;0,6615;12;12;5;1;27;2025;1;24,656
"36-1";1;690;0;1;42;11;2,4638;0;1896;44;8;5,538;15897;0,7515;10;3;7,5;0;0;1764;1;15,897
"37-1";1;4210;0;0;46;12;2,3753;4,63;1040;49;16;6,9231;20320;0,6915;3;3;11;1;17;2116;0;20,32
"38-1";1;2205;0;1;46;10;4,5351;4,55;2200;52;12;5;21384;0,6615;10;3;11;0;28;2116;1;21,384
"39-1";1;1952;0;0;51;14;5,6183;5,6;1952;58;12;7,3064;25561;0,6215;7;7;14;0;24;2601;0;25,561
"40-1";1;1302;0;0;30;17;14,631;9,53;1560;30;17;11,218;36550;0,58;14;17;5;1;11;900;0;36,55
"41-1";1;112;1;2;30;12;2,6786;0;4030;33;16;3,8462;15810;0,7215;12;12;3;0;1;900;1;15,81
"42-1";1;893;0;0;57;12;3,9194;3,5;2570;58;12;5,8366;25500;0,6215;9;9;7,5;1;14;3249;0;25,5
"43-1";1;583;1;2;31;16;2,5729;9,98;1530;34;16;13,725;24000;0,6615;14;16;9,5;1;6;961;1;24
"44-1";1;480;0;2;48;12;4,5375;4,65;3149;48;8;6,3493;22172;0,6615;3;3;5;0;10;2304;1;22,172
"45-1";1;1900;0;3;30;12;2;2,23;2690;32;12;5,2528;17930;0,7215;12;7;5;0;6;900;1;17,93
"46-1";1;576;0;2;34;12;3,4722;3,84;3096;33;12;1,3075;7000;0,7815;12;7;3;0;4;1156;1;7
"47-1";1;2056;0;2;48;16;2,0161;0;2552;53;16;2,7998;25300;0,7215;14;16;5;1;10;2304;1;25,3
"48-1";1;1984;0;0;45;12;4,5716;4,82;2040;47;11;2,6961;16212;0,7215;10;10;11;0;22;2025;0;16,212
"49-1";1;2640;0;0;51;12;2,2727;0;2180;50;13;7,5688;22650;0,6615;7;7;3;0;16;2601;0;22,65
"50-1";1;240;0;2;30;12;2,6375;0;1864;37;12;3,4077;6985;0,7815;12;7;14;0;6;900;1;6,985
"51-1";1;1173;0;1;46;12;2,2899;2,5;2068;46;12;6,5401;30000;0,6915;7;7;11;1;12;2116;1;30
"52-1";1;3640;0;0;58;12;1,0989;0;2010;58;12;7,2139;18500;0,6915;7;3;9,5;1;32;3364;0;18,5
"53-1";1;340;0;8;37;12;1,1765;0;2152;40;10;6,2732;16658;0,7515;12;7;5;0;15;1369;1;16,658
"54-1";1;500;0;0;52;8;1,6;0;1496;54;11;5,8824;10300;0,7515;7;7;5;1;17;2704;0;10,3
"55-1";1;1599;0;0;52;10;1,8762;2,8;2100;47;4;3,8095;11000;0,7515;7;3;7,5;0;34;2704;0;11
"56-1";1;1830;0;0;31;16;4,0437;4,2;1960;35;14;6,3776;19900;0,6915;12;12;7,5;1;9;961;0;19,9
"57-1";1;1920;0;0;55;14;9,6354;8,75;1985;55;15;6,0453;32500;0,64;7;7;14;1;37;3025;0;32,5
"58-1";1;2052;0;0;34;17;8,0409;8,25;2020;33;17;8,8119;37300;0,58;17;17;7,5;1;10;1156;0;37,3
"59-1";1;2312;0;0;55;14;4,599;5,58;2178;56;16;8,8765;30018;0,5815;17;7;11;1;35;3025;0;30,018
"60-1";1;196;0;2;39;12;2,1429;2,5;3684;39;12;3,342;12807;0,7515;12;7;14;1;6;1521;1;12,807
"61-1";1;2500;0;3;40;14;4,4;5,5;5010;42;13;3,1836;39500;0,5515;14;3;7,5;0;19;1600;1;39,5
"62-1";1;1980;0;4;43;12;3,5354;3,75;1880;47;12;6,9149;22050;0,6915;12;12;9,5;1;10;1849;1;22,05
"63-1";1;1840;0;0;48;8;2,7174;4,8;1904;56;8;5,5147;15500;0,7215;7;7;14;1;11;2304;0;15,5
"64-1";1;320;0;0;47;12;6,25;6,25;2083;47;12;5,2808;13810;0,7215;7;7;9,5;1;15;2209;0;13,81
"65-1";1;419;0;4;41;12;11,933;6,3;2125;44;12;3,2;11950;0,7515;7;7;5;1;12;1681;1;11,95
"66-1";1;1880;0;0;36;8;3,5931;3,75;1985;37;12;5,8791;19175;0,6915;12;12;7,5;0;12;1296;0;19,175
"67-1";1;72;0;2;46;17;6,9444;0;2640;48;17;6,25;17900;0,6915;12;16;7,5;0;14;2116;1;17,9
"68-1";1;120;0;0;34;12;2,9167;0;2070;51;8;7,4879;15850;0,7215;12;7;5;1;11;1156;0;15,85
"69-1";1;1885;0;3;41;12;3,0769;2,9;2107;48;8;6,9767;27017;0,6915;7;7;5;1;9;1681;1;27,017
"70-1";1;240;0;1;51;12;3,75;0;2250;54;10;8;18900;0,6915;12;7;5;0;24;2601;1;18,9
"71-1";1;1729;0;0;33;12;5,7259;4,76;2880;34;16;4,1319;21800;0,6915;12;12;7,5;1;12;1089;0;21,8
"72-1";1;1850;0;0;52;12;3,6757;3,4;1848;53;12;14,476;33552;0,5515;10;10;7,5;1;13;2704;0;33,552
"73-1";1;2033;0;0;58;9;5,1648;4,32;1927;53;7;5,7343;22650;0,6615;7;9;7,5;1;29;3364;0;22,65
"74-1";1;608;2;4;34;10;8,2237;3;1304;38;9;3,3742;15200;0,7915;0;0;7,5;1;11;1156;1;15,2
"75-1";1;1153;0;1;31;12;4,3365;4,52;3000;35;12;1,8333;13120;0,7215;7;10;7,5;1;13;961;1;13,12
"76-1";1;2208;0;1;48;12;4,9819;5,31;1892;52;12;5,6025;21660;0,6615;12;14;5;1;19;2304;1;21,66
"77-1";1;252;0;2;32;12;0,3571;0;3644;32;12;4,2975;18190;0,7215;7;7;3;0;2;1024;1;18,19
"78-1";1;337;0;0;49;17;2,9674;0;1430;47;17;3,9161;9600;0,7515;3;3;14;1;24;2401;0;9,6
"79-1";1;90;2;2;32;15;1;0;2350;31;14;4,8787;13755;0,7515;10;12;7,5;1;9;1024;1;13,755
"80-1";1;1174;0;0;58;12;2,5554;4,87;1948;59;16;9,2402;35350;0,6615;7;12;7,5;1;6;3364;0;35,35
"81-1";1;372;0;0;50;6;0,8602;2,25;1804;42;12;6,6519;12405;0,7215;12;7;7,5;1;22;2500;0;12,405
"82-1";1;30;0;0;60;14;1;0;2326;51;12;4,6217;12180;0,7515;12;17;9,5;0;30;3600;0;12,18
"83-1";1;1800;0;1;50;12;2,9261;0;1739;55;11;9,9741;22962;0,6615;7;3;7,5;1;10;2500;1;22,962
"84-1";1;282;0;0;56;14;3,5461;2,5;1176;57;17;20,918;25700;0,6215;7;7;9,5;1;6;3136;0;25,7
"85-1";1;720;0;0;51;9;1,6264;2,2;1100;55;8;1,94;3305;0,7915;7;7;3;0;29;2601;0;3,305
"86-1";1;1440;0;1;54;17;8,3333;6;1528;58;17;8,8351;32950;0,5815;7;12;5;1;29;2916;1;32,95
"87-1";1;2100;0;0;59;13;3,0952;2,95;2250;52;15;4,6667;17000;0,6915;7;7;5;1;36;3481;0;17
"88-1";1;1000;0;2;46;9;2,7;2,35;1927;47;10;5,1894;13250;0,7515;7;7;5;1;19;2116;1;13,25
"89-1";1;952;0;1;46;15;5,2521;0;2414;47;16;18,724;50750;0,4415;7;12;5;1;8;2116;1;50,75
"90-1";1;1413;1;3;39;12;1,4154;2,2;768;49;8;10,417;15632;0,7715;10;10;14;0;13;1521;1;15,632
"91-1";1;2100;0;2;44;12;4,7986;4,85;1984;43;14;8,8458;28316;0,6215;7;0;11;1;16;1936;1;28,316
"92-1";1;120;2;0;33;12;1,6667;2,37;2246;36;12;7,569;17290;0,7215;12;12;9,5;1;11;1089;1;17,29
"93-1";1;3000;1;2;33;12;1,1217;0;3024;30;17;4,4507;33600;0,6215;10;10;7,5;1;15;1089;1;33,6
"94-1";1;1000;0;2;48;12;0,5;0;2921;52;12;9,3204;29200;0,6215;12;7;9;1;6;2304;1;29,2
"95-1";1;336;0;4;31;12;0,7143;0;2045;37;17;9,1687;19870;0,6915;7;7;11;0;13;961;1;19,87
"96-1";1;1216;0;1;45;12;2,7961;2,9;1928;44;12;6,4834;16225;0,7215;7;7;11;0;22;2025;1;16,225
"97-1";1;988;0;1;45;12;4,8583;4,5;1920;44;10;7,8125;28600;0,6915;7;3;5;1;24;2025;1;28,6
"98-1";1;2581;0;2;32;13;1,7435;2,6;2280;37;17;11,404;30800;0,5815;14;12;7,5;1;2;1024;1;30,8
"99-1";1;2030;0;0;47;12;2,4631;2,8;2300;47;17;5,087;25700;0,6915;7;7;3;0;6;2209;0;25,7
"100-1";1;413;0;2;34;13;2,4213;3;2480;35;13;6,9758;27000;0,6215;12;12;3;0;2;1156;1;27
"101-1";1;782;0;1;37;12;1,5345;2,3;1135;34;10;5,2863;12077;0,7715;12;7;9,5;1;2;1369;1;12,077
"102-1";1;1388;0;1;36;12;2,8818;1,87;1384;39;12;11,562;29612;0,6615;7;7;11;0;14;1296;1;29,612
"103-1";1;1450;1;2;47;12;2,4069;3;1848;50;14;8,6061;24479;0,6915;7;10;9,5;1;9;2209;1;24,479
"104-1";1;1720;0;1;48;16;5,2326;4,68;2499;46;17;12,805;79750;0,4415;14;14;7,5;1;11;2304;1;79,75
"105-1";1;800;0;2;42;12;3,75;2,5;2390;43;12;6,6946;20050;0,6915;12;7;11;0;9;1764;1;20,05
"106-1";1;360;0;3;33;13;1,3889;0;2400;44;14;8,3333;21500;0,6915;10;12;11;1;6;1089;1;21,5
"107-1";1;2000;0;0;46;11;4;4,61;1920;53;8;4,1667;16120;0,6915;7;7;5;0;19;2116;0;16,12
"108-1";1;1176;0;3;47;12;3,2313;3,35;2301;48;13;5,4759;24686;0,7215;7;7;9,5;0;26;2209;1;24,686
"109-1";1;2058;0;1;44;12;3,4014;3,8;1944;43;10;5,144;24669;0,6915;7;10;9,5;1;19;1936;1;24,669
"110-1";1;900;0;4;36;12;1,3333;2,2;2100;37;17;11,667;26400;0,6615;7;7;7,5;1;3;1296;1;26,4
"111-1";1;215;2;0;31;17;9,3023;9,98;1920;32;16;7,2917;16245;0,7215;12;12;7,5;1;7;961;1;16,245
"112-1";1;2000;0;0;55;14;4,5;4,37;2880;55;14;4,8611;23300;0,6615;7;7;9,5;1;28;3025;0;23,3
"113-1";1;757;0;1;45;16;4,6235;4,5;1932;48;16;12,164;27200;0,6215;12;7;9,5;1;13;2025;1;27,2
"114-1";1;1264;0;0;47;17;3,9557;0;3234;48;17;10,823;51000;0,4615;10;17;9,5;1;9;2209;0;51
"115-1";1;2064;0;3;46;12;5,814;6;2805;47;12;12,478;55000;0,4615;10;7;14;1;15;2116;1;55
"116-1";1;1280;0;0;49;11;0,5;0;2272;52;9;6,162;15389;0,7215;7;7;7,5;1;20;2401;0;15,389
"117-1";1;1715;0;0;49;12;4,0816;3,75;2227;52;14;7,1846;23150;0,6615;7;7;9,5;1;29;2401;0;23,15
"118-1";1;2000;0;2;45;12;6;4,95;1720;49;6;7,093;29774;0,6215;7;10;14;1;9;2025;1;29,774
"119-1";1;12;1;3;38;17;3,6667;0;2300;38;13;17,826;91044;0,4415;12;10;14;1;1;1444;1;91,044
"120-1";1;1528;0;0;47;10;3,8613;2,95;3410;50;12;6,393;28200;0,5815;7;12;14;1;8;2209;0;28,2
"121-1";1;561;0;3;54;13;2,7629;2,53;2304;57;16;11,719;36150;0,5515;7;7;9,5;1;19;2916;1;36,15
"122-1";1;2058;0;0;41;11;2,931;2,9;1984;42;12;4,7883;15652;0,7215;12;12;7,5;0;23;1681;0;15,652
"123-1";1;1823;0;2;43;12;4,3884;4,2;1890;33;14;4,2328;18900;0,7515;14;7;11;0;3;1849;1;18,9
"124-1";1;1680;1;1;31;16;5,4167;4,7;1970;32;12;7,1066;23600;0,6615;12;10;7,5;0;13;961;1;23,6
"125-1";1;1440;0;0;47;17;9,8611;7,1;2400;46;12;8,3333;36200;0,61;7;7;7,5;1;8;2209;0;36,2
"126-1";1;4950;0;2;35;12;0,1616;2,75;2504;37;12;6,9888;18700;0,6915;10;10;7,5;0;17;1225;1;18,7
"127-1";1;1176;0;3;45;16;0,3826;3,75;2398;48;17;9,5913;24125;0,6615;7;7;11;1;4;2025;1;24,125
"128-1";1;1100;1;0;33;12;3,6364;3,58;1960;39;12;6,0204;15800;0,7215;7;7;7,5;0;15;1089;1;15,8
"129-1";1;1516;0;1;54;16;2,3747;2,4;2550;55;12;2,9686;19742;0,7215;12;7;3;0;11;2916;1;19,742
"130-1";1;900;0;4;35;8;4,6667;3,95;2500;41;12;7;22600;0,6915;10;7;9,5;0;7;1225;1;22,6
"131-1";1;1080;1;2;31;12;1,8519;2,25;2164;37;10;7,1627;17500;0,7215;7;7;7,5;0;0;961;1;17,5
"132-1";1;480;0;0;55;12;5,2;0;2640;60;12;4,7364;19820;0,6915;7;7;7,5;0;0;3025;0;19,82
"133-1";1;288;0;2;34;12;3,2986;4,62;1936;36;12;8,781;20155;0,6915;12;16;11;1;10;1156;1;20,155
"134-1";1;1875;0;1;38;13;8,5333;8,5;2136;41;12;9,8315;37300;0,58;10;12;7,5;1;8;1444;1;37,3
"135-1";1;630;0;1;45;11;2,0635;0;1955;51;10;6,6496;24860;0,7215;7;7;7,5;1;2;2025;1;24,86
"136-1";1;234;0;1;47;12;2,5641;2,5;1980;48;10;9,8485;21450;0,6615;12;3;7,5;1;4;2209;1;21,45
"137-1";1;1600;0;2;39;12;2,1875;0;2550;42;11;9,8039;29650;0,6215;7;7;5;1;6;1521;1;29,65
"138-1";1;960;1;0;36;14;6,25;0;2058;37;13;8,2604;23000;0,6615;7;7;11;1;18;1296;1;23
"139-1";1;120;1;2;33;12;3,3333;0;2263;32;14;9,0676;21120;0,6915;7;7;9;1;3;1089;1;21,12
"140-1";1;2025;0;0;50;12;4,4444;4,8;1763;54;13;8,5082;26000;0,6215;7;12;5;1;22;2500;0;26
"141-1";1;1809;0;0;58;12;6,6335;6,45;2096;59;14;7,1565;28000;0,6215;3;7;7,5;1;33;3364;0;28
"142-1";1;3087;0;0;49;17;8,4224;9,98;2059;47;13;7,0423;45500;0,52;12;12;11;1;28;2401;0;45,5
"143-1";1;910;0;2;41;14;4,3956;0;1820;40;17;6,5934;16000;0,7215;16;12;14;1;23;1681;1;16
"144-1";1;1840;0;1;51;12;2,4457;2,5;2832;53;8;4,3457;18232;0,6915;7;14;11;0;27;2601;1;18,232
"145-1";1;784;0;0;53;9;1,2245;2,25;1990;60;10;7,2362;28160;0,7215;3;7;14;1;11;2809;0;28,16
"146-1";1;400;1;2;36;12;1,625;0;2000;40;7;1,74;5965;0,8015;12;7;11;1;6;1296;1;5,965
"147-1";1;1000;0;2;46;12;3;5,5;1885;46;12;6,8966;19000;0,7215;7;7;9,5;1;11;2116;1;19
"148-1";1;1904;0;2;36;12;4,7269;4,2;2860;37;12;5,0455;36872;0,5515;12;12;11;1;14;1296;1;36,872
"149-1";1;1771;0;1;53;14;1,1293;9,98;1913;48;16;17,25;42000;0,4915;12;12;14;1;17;2809;1;42
"150-1";1;1486;0;3;40;16;7,4024;6,25;1800;54;16;8,3333;26900;0,6215;16;14;11;1;17;1600;1;26,9
"151-1";1;740;0;2;42;17;4,4595;1,65;2880;45;16;9,375;30800;0,5815;12;10;9;0;14;1764;1;30,8
"152-1";1;1820;1;1;33;15;2,4725;0;1993;32;16;8,279;21520;0,6915;12;12;11;1;11;1089;1;21,52
"153-1";1;1275;0;3;43;12;1,8824;3;2250;47;14;4,5;24795;0,6915;7;7;7,5;1;7;1849;1;24,795
"154-1";1;450;1;0;31;16;4;4;2286;30;16;4,1995;12900;0,7215;14;16;14;1;8;961;1;12,9
"155-1";1;1221;0;0;47;17;8,19;5,99;1880;47;16;16,064;42700;0,4915;7;7;7,5;1;6;2209;0;42,7
"156-1";1;1550;0;0;54;17;7,0968;6;2350;58;17;11,277;38800;0,5215;10;17;11;1;8;2916;0;38,8
"157-1";1;180;1;3;33;12;1,6667;0;3640;33;11;0,5494;2500;0,9415;7;3;3;0;4;1089;1;2,5
"158-1";1;2090;0;0;43;16;3,445;3,85;1770;47;14;9,548;26921;0,6215;14;10;11;1;25;1849;0;26,921
"159-1";1;1960;0;1;46;13;4,2347;4,2;1875;49;13;5,3333;18300;0,6915;7;9;3;0;24;2116;1;18,3
"160-1";1;1440;0;3;35;12;2,7778;4,1;2200;38;9;5,4545;17200;0,7215;7;7;14;1;11;1225;1;17,2
"161-1";1;794;0;3;37;11;1,8892;3,85;2033;39;12;5,9026;14209;0,7515;12;3;9,5;1;19;1369;1;14,209
"162-1";1;993;0;2;37;16;5,0352;8,3;2739;39;17;9,8576;32300;0,5815;12;16;14;1;9;1369;1;32,3
"163-1";1;160;0;3;34;14;1,25;0;1626;38;14;11,685;21400;0,7215;17;12;7,5;1;19;1156;1;21,4
"164-1";1;105;1;0;43;16;2,8571;0;2248;44;17;6,2278;14700;0,7215;7;7;9,5;0;14;1849;1;14,7
"165-1";1;1200;0;0;46;12;4,1167;4,33;2140;48;12;9,1748;25516;0,6215;7;7;9,5;1;22;2116;0;25,516
"166-1";1;450;0;3;35;9;1,7778;2,6;1985;42;12;6,2972;13300;0,7515;3;7;5;1;6;1225;1;13,3
"167-1";1;996;0;0;46;17;13,554;9,98;1528;59;17;10,471;31000;0,5815;12;12;9,5;1;23;2116;0;31
"168-1";1;1052;0;0;46;14;4,5627;4,9;1920;48;16;14,583;48800;0,4915;7;3;11;1;15;2116;0;48,8
"169-1";1;1128;0;2;43;12;2,1277;2,4;1918;46;10;6,2143;15519;0,7215;7;7;14;1;6;1849;1;15,519
"170-1";1;1840;0;0;30;12;2,9891;3,75;2112;30;12;6,6288;19500;0,6915;7;7;7,5;0;11;900;0;19,5
"171-1";1;1910;0;2;41;11;2,5654;2,57;2144;46;9;3,8246;14545;0,7215;3;7;5;0;2;1681;1;14,545
"172-1";1;980;0;1;54;12;5,6122;5;1920;54;15;7,8125;22897;0,6915;7;7;14;1;22;2916;1;22,897
"173-1";1;2317;0;1;31;12;2,8054;3,87;2241;41;9;3,4806;14300;0,7215;10;10;7,5;1;10;961;1;14,3
"174-1";1;1089;0;0;44;10;1,607;0;880;47;11;5,55;14884;0,7515;10;10;9,5;1;14;1936;0;14,884
"175-1";1;800;0;1;32;12;2,25;0;2070;31;16;11,594;27400;0,6215;12;7;11;1;12;1024;1;27,4
"176-1";1;1230;0;0;47;5;2,0325;2,82;1050;53;5;9,5238;16400;0,7215;7;12;14;1;9;2209;0;16,4
"177-1";1;1158;0;1;46;17;5,532;8,1;2635;57;17;7,2805;25704;0,6215;14;17;7,5;0;13;2116;1;25,704
"178-1";1;2272;0;0;37;11;1,5845;3,71;3000;47;8;3;12800;0,7215;10;10;7,5;0;18;1369;0;12,8
"179-1";1;528;0;2;51;12;3,7879;0;2500;50;11;10,4;40000;0,6215;7;7;7,5;0;8;2601;1;40
