;"LFP";"WHRS";"KL6";"K618";"AGE";"EDUC";"WW";"RPWG";"HHRS";"HA";"HE";"HW";"FAMINC";"MTR";"WMED";"WFED";"UN";"CIT";"AX";"AGE2";"KIDS";"INC"
"180-1";1;1000;0;1;49;12;3;0;1990;49;12;10,05;47000;0,6615;7;7;14;1;11;2401;1;47
"181-1";1;520;0;4;36;14;8,6538;0;2390;37;13;8,7866;25872;0,6615;10;12;9,5;1;9;1296;1;25,872
"182-1";1;760;0;1;39;11;4,2105;3,95;1430;44;12;10,14;26868;0,6915;12;7;9,5;1;9;1521;1;26,868
"183-1";1;1920;0;2;48;12;4,6875;4,3;1800;50;8;5;18000;0,6915;12;12;9,5;1;14;2304;1;18
"184-1";1;1220;0;2;38;14;4,0984;4,84;2103;43;17;11,888;30200;0,5815;7;7;5;1;9;1444;1;30,2
"185-1";1;200;0;2;40;12;25;3;1350;42;12;13,333;26220;0,6615;7;7;7,5;1;2;1600;1;26,22
"186-1";1;2480;1;5;39;10;2,6331;4,2;2880;36;17;8,6806;40500;0,5815;7;7;3;0;12;1521;1;40,5
"187-1";1;2750;0;0;37;16;6;9;2400;43;17;7,2917;33570;0,61;12;7;7,5;1;15;1369;0;33,57
"188-1";1;2014;0;1;49;13;5,4126;4,05;1135;47;12;3,5242;16917;0,7215;7;14;14;1;11;2401;1;16,917
"189-1";1;1355;0;3;33;12;0,6642;1;2750;35;17;6,1818;18000;0,7215;12;7;9,5;0;7;1089;1;18
"190-1";1;80;0;0;30;12;1,25;0;2085;32;16;2,9755;8337;0,7515;12;12;11;1;9;900;0;8,337
"191-1";1;1670;0;0;54;12;2,2754;2,1;2600;56;8;4,5769;17100;0,7215;12;7;9,5;0;19;2916;0;17,1
"192-1";1;520;0;4;39;11;3,4615;3,05;3542;40;12;3,1056;17800;0,7515;10;7;11;0;11;1521;1;17,8
"193-1";1;288;0;3;43;12;4,1667;3;1975;43;12;5,8228;13740;0,7515;12;12;14;1;8;1849;1;13,74
"194-1";1;2014;0;3;31;9;4,4687;4,26;2400;32;12;7,5;27000;0,6215;10;3;9,5;1;13;961;1;27
"195-1";1;800;0;3;33;13;1,75;0;3000;37;14;8,3333;32600;0,6215;12;7;7,5;1;4;1089;1;32,6
"196-1";1;1984;0;3;40;12;3,6694;4,25;1960;39;14;9,2347;28030;0,6615;12;12;14;1;7;1600;1;28,03
"197-1";1;1823;0;1;36;12;6,5826;6;2000;39;9;5,5;23100;0,6615;12;12;3;0;19;1296;1;23,1
"198-1";1;1500;0;0;51;12;2,6;2;3000;51;12;6;24580;0,6615;7;7;9,5;1;14;2601;0;24,58
"199-1";1;2261;0;1;44;13;4,8651;5,5;2400;43;12;6,6667;29000;0,6215;12;7;9,5;1;14;1936;1;29
"200-1";1;1728;0;3;42;16;5,787;6,25;2450;48;14;13,061;42430;0,5215;12;14;9,5;1;3;1764;1;42,43
"201-1";1;1960;0;1;40;12;4,5408;5;2423;40;8;12,794;41800;0,5215;12;12;7,5;1;9;1600;1;41,8
"202-1";1;1578;1;1;34;16;9,5057;7,72;2000;33;16;12;39100;0,58;12;17;9,5;1;7;1156;1;39,1
"203-1";1;1316;0;0;30;17;10,638;7;2526;41;16;6,73;31800;0,5815;16;17;11;1;7;900;0;31,8
"204-1";1;1530;0;0;54;12;1,1111;1,13;2695;53;12;6,679;22200;0,6915;7;7;14;0;14;2916;0;22,2
"205-1";1;2220;0;0;51;12;4,0541;4,37;2048;54;12;4,3945;19500;0,6915;16;7;3;0;29;2601;0;19,5
"206-1";1;1336;0;2;44;9;2,6871;2,64;1920;46;11;4,6875;14027;0,7515;7;10;11;0;19;1936;1;14,027
"207-1";1;1008;0;1;43;12;2,9762;2,5;2338;42;9;7,6989;21195;0,6615;7;7;11;1;14;1849;1;21,195
"208-1";1;1944;0;1;34;12;3,1728;3,23;2945;37;8;4,3287;19013;0,6915;10;7;7,5;0;16;1156;1;19,013
"209-1";1;2000;0;0;45;13;3,55;3,45;2047;52;12;6,7416;20900;0,6615;12;7;11;1;10;2025;0;20,9
"210-1";1;258;0;0;39;12;17,907;0;1668;47;7;9,3525;26820;0,6215;10;3;11;0;12;1521;0;26,82
"211-1";1;1785;0;0;50;12;3,4174;5,75;175;48;10;9,1429;12800;0,7515;0;0;14;1;24;2500;0;12,8
"212-1";1;480;0;0;52;12;3,3333;0;1798;53;12;2,6418;7850;0,7515;7;7;14;0;6;2704;0;7,85
"213-1";1;772;0;2;41;12;3,886;7,5;1222;45;12;7,365;18600;0,7215;12;12;7,5;1;9;1681;1;18,6
"214-1";1;900;0;0;59;10;2,3111;2,22;1820;59;7;1,4066;5380;0,7715;12;7;5;0;14;3481;0;5,38
"215-1";1;1428;0;0;52;12;1,7108;2,5;1560;60;8;1,5192;6114;0,7715;10;7;14;0;26;2704;0;6,114
"216-1";1;210;0;0;46;16;2,1143;4;2210;49;12;3,3439;8234;0,7515;12;12;14;0;7;2116;0;8,234
"217-1";1;239;1;5;41;12;9,9331;4,5;2874;48;16;2,9106;20646;0,7215;3;7;11;1;4;1681;1;20,646
"218-1";1;1878;0;2;33;11;3,0277;3,5;2499;35;8;4,3834;16640;0,7215;7;7;9,5;0;15;1089;1;16,64
"219-1";1;215;0;0;45;12;1,8605;2,3;3088;38;12;4,2098;13900;0,7215;12;12;5;1;23;2025;0;13,9
"220-1";1;2340;1;2;36;10;0,1282;0;2020;37;8;3,7129;11500;0,7815;10;7;7,5;0;1;1296;1;11,5
"221-1";1;1960;0;1;48;12;6,6327;6,3;1980;56;10;10,606;34000;0,5515;7;7;14;1;29;2304;1;34
"222-1";1;532;0;1;47;12;5,6391;3,6;1968;47;11;8,6382;28700;0,6615;7;3;11;1;9;2209;1;28,7
"223-1";1;394;0;0;45;12;1,599;2,5;2100;45;12;3,8367;9563;0,7515;7;7;7,5;0;6;2025;0;9,563
"224-1";1;675;0;2;37;12;2,6667;3;2651;48;17;7,1671;20960;0,6915;7;7;7,5;0;11;1369;1;20,96
"225-1";1;1515;0;4;46;16;7,9208;6,8;1918;49;14;8,8634;38590;0,6215;12;10;14;1;17;2116;1;38,59
"226-1";1;1030;0;3;43;17;5,3398;5,8;2585;46;16;7,7369;27900;0,6615;12;12;5;1;6;1849;1;27,9
"227-1";1;1250;0;2;42;12;4;4;2250;46;17;9,1702;25633;0,6215;7;7;7,5;1;7;1764;1;25,633
"228-1";1;1158;1;2;34;17;6,0449;5,1;2480;39;17;11,29;35200;0,5515;12;12;7,5;1;2;1156;1;35,2
"229-1";1;112;0;0;52;12;6,25;0;2924;53;12;6,3269;29500;0,5815;7;7;7,5;1;24;2704;0;29,5
"230-1";1;336;0;3;37;12;2,9762;2,2;1896;52;9;4,7468;10000;0,7515;10;7;7,5;0;4;1369;1;10
"231-1";1;1984;0;1;37;12;4,2339;4,78;2332;40;12;4,8885;19800;0,6915;10;7;5;0;11;1369;1;19,8
"232-1";1;716;0;0;52;8;3,4916;2,2;3482;59;7;2,4842;12900;0,7215;7;7;5;0;25;2704;0;12,9
"233-1";1;1410;1;0;30;12;4,9645;1,28;2106;30;14;8,547;26080;0,6215;12;12;7,5;0;11;900;1;26,08
"234-1";1;1300;0;1;31;13;2,7692;0;1160;32;12;6,6379;13066;0,7515;17;7;11;1;2;961;1;13,066
"235-1";1;1640;0;1;38;12;3,6585;3,25;2040;46;12;3,1863;12500;0,7215;7;7;7,5;0;19;1444;1;12,5
"236-1";1;1202;0;3;43;12;5,3935;0;2856;48;16;4,5466;35600;0,5815;7;7;9;1;7;1849;1;35,6
"237-1";1;489;0;1;49;8;0,6564;2,29;950;51;8;12,789;19424;0,7515;7;7;5;1;2;2401;1;19,424
"238-1";1;2076;0;0;55;12;4,7688;4,68;2068;58;10;6,528;26250;0,6615;7;7;5;1;20;3025;0;26,25
"239-1";1;526;0;2;38;17;8,5551;4,2;1896;42;17;16,403;36525;0,5515;12;14;9,5;1;10;1444;1;36,525
"240-1";1;1721;0;0;52;17;10,459;9,5;2000;56;16;7;34700;0,61;14;17;14;1;19;2704;0;34,7
"241-1";1;1327;0;0;48;12;2,6375;2,57;288;51;11;13,542;8311;0,7515;7;7;11;1;17;2304;0;8,311
"242-1";1;584;0;2;32;13;6,8493;4,32;2160;33;12;6,713;28626;0,6915;12;10;11;1;12;1024;1;28,626
"243-1";1;1376;0;1;32;12;5,0872;5;3120;33;17;5,4487;24400;0,6615;7;7;5;1;11;1024;1;24,4
"244-1";1;1040;0;2;38;12;0,9615;0;1944;41;17;6,6872;14025;0,7215;7;7;7,5;1;6;1444;1;14,025
"245-1";1;548;0;3;46;12;4,3066;3,69;2046;47;12;9,0943;21367;0,6915;16;12;14;1;10;2116;1;21,367
"246-1";1;15;0;3;40;12;7,0667;0;2005;42;9;6,5337;14136;0,7515;7;7;7,5;0;4;1600;1;14,136
"247-1";1;1980;0;4;31;9;2,5253;2,56;2070;36;10;4,686;19900;0,7515;10;7;5;1;2;961;1;19,9
"248-1";1;1520;0;1;43;10;7,8947;5;3000;50;12;8;37000;0,5215;12;9;9,5;1;13;1849;1;37
"249-1";1;1880;0;0;51;12;4,1489;3,9;2640;51;12;4,053;18500;0,6915;7;7;7,5;0;21;2601;0;18,5
"250-1";1;1260;1;0;30;16;8,1746;8,17;2450;34;17;8,1633;34550;0,5515;16;14;5;1;9;900;1;34,55
"251-1";1;1092;0;0;52;13;9,5971;0;1000;53;15;16,5;49620;0,4615;10;7;11;1;4;2704;0;49,62
"252-1";1;1587;1;5;30;8;2,0164;2,3;2080;33;8;3,4615;10400;0,7815;3;3;7,5;0;2;900;1;10,4
"253-1";1;156;0;0;51;16;7,6218;0;2413;51;16;11,361;33000;0,5515;16;16;11;1;19;2601;0;33
"254-1";1;1939;0;2;31;13;3,1975;3,43;2570;31;12;3,8911;16200;0,7215;7;3;7,5;1;4;961;1;16,2
"255-1";1;1250;0;4;34;12;1,6;1,36;2030;52;12;9,6059;22660;0,6915;12;16;7,5;1;9;1156;1;22,66
"256-1";1;610;0;0;49;11;4,0984;4;4684;59;17;2,6687;16000;0,7215;7;7;7,5;1;14;2401;0;16
"257-1";1;270;1;3;35;13;1,4815;5;2802;41;17;8,8865;25780;0,6615;7;16;9,5;1;6;1225;1;25,78
"258-1";1;660;1;0;53;12;3,6364;3,15;2090;59;12;6,3636;20675;0,7215;7;12;7,5;1;24;2809;1;20,675
"259-1";1;1000;0;3;32;12;1;0;2053;46;16;17,728;40213;0,5515;12;7;11;0;1;1024;1;40,213
"260-1";1;1920;0;3;38;10;2,6042;2,93;1984;42;10;5,2923;15500;0,7215;12;7;7,5;1;13;1444;1;15,5
"261-1";1;200;0;0;54;12;1,75;0;2040;54;16;15,686;35207;0,5815;7;12;9,5;1;3;2916;0;35,207
"262-1";1;1500;0;1;47;17;4,8;3,6;2794;58;8;5,2423;35702;0,5515;10;12;11;1;10;2209;1;35,702
"263-1";1;868;0;1;45;15;5,53;6;3290;47;14;3,0395;17800;0,7215;14;12;9,5;1;16;2025;1;17,8
"264-1";1;2318;0;1;47;16;4,0984;4,2;1911;46;16;16,745;50900;0,4915;16;16;5;1;9;2209;1;50,9
"265-1";1;2000;0;0;59;10;1,25;0;2000;60;12;3,75;17280;0,6915;7;7;5;0;19;3481;0;17,28
"266-1";1;60;0;1;32;11;1,6667;0;2580;31;12;5,814;15150;0,7215;10;9;5;1;4;1024;1;15,15
"267-1";1;1715;0;1;45;12;3,7901;3,38;2400;49;17;10,833;36200;0,5815;7;7;7,5;1;10;2025;1;36,2
"268-1";1;550;0;4;40;12;2,3636;2,26;1740;47;12;9,0029;17465;0,7215;14;12;5;1;5;1600;1;17,465
"269-1";1;1960;0;2;47;14;10,204;0;2500;50;12;6,54;45205;0,61;14;12;3;1;7;2209;1;45,205
"270-1";1;44;1;2;36;16;6,8182;1,36;1840;37;17;5,9783;14500;0,7515;12;10;5;0;3;1296;1;14,5
"271-1";1;1920;0;0;56;14;7,2146;6,92;2036;56;14;8,6248;32011;0,5815;7;7;7,5;0;38;3136;0;32,011
"272-1";1;2540;0;1;41;8;2,4484;0;3536;43;11;4,8329;35200;0,6215;7;12;9,5;0;16;1681;1;35,2
"273-1";1;156;0;3;48;7;1,1987;0;880;51;11;10,909;13579;0,7515;3;7;11;0;13;2304;1;13,579
"274-1";1;780;1;2;36;12;1,641;0;2007;38;12;3,8864;10455;0,7515;7;7;11;0;1;1296;1;10,455
"275-1";1;3120;0;0;41;12;1,7821;0;2632;44;13;8,4574;32600;0,5515;7;3;5;0;7;1681;0;32,6
"276-1";1;2040;0;0;41;14;2,9412;2,8;2600;43;12;5;19150;0,6915;7;10;11;1;15;1681;0;19,15
"277-1";1;1610;0;3;36;12;4,9689;4,25;2156;36;13;7,4212;24400;0,6615;12;17;9,5;1;10;1296;1;24,4
"278-1";1;215;0;3;37;12;1,8605;0;3625;41;12;4,4938;21700;0,6915;10;7;3;0;2;1369;1;21,7
"279-1";1;1120;0;0;38;12;8,0357;0;2420;42;12;7,0252;26201;0,6215;7;3;9,5;1;19;1444;0;26,201
"280-1";1;846;0;2;43;14;3,9716;4,2;2080;43;9;3,2788;11920;0,7515;3;3;7,5;1;25;1849;1;11,92
"281-1";1;3225;0;0;54;16;3,0416;0;3443;59;17;1,2861;16300;0,7215;12;12;9,5;1;25;2916;0;16,3
"282-1";1;1376;0;1;38;12;2,907;3,75;2250;41;12;5,5556;16500;0,7215;7;7;5;1;7;1444;1;16,5
"283-1";1;980;1;0;30;12;3,0612;3,6;2535;34;16;7,4951;30000;0,5815;12;7;11;1;15;900;1;30
"284-1";1;1838;0;0;49;12;4,8966;5;2352;48;15;22,109;62500;0,4415;7;7;9,5;1;11;2401;0;62,5
"285-1";1;1494;0;1;45;13;4,0161;2,5;3036;49;6;9,058;58500;0,4415;10;10;9,5;1;25;2025;1;58,5
"286-1";1;450;0;0;51;13;5,5556;3,5;2600;57;14;11,538;40900;0,5215;7;7;9,5;1;19;2601;0;40,9
"287-1";1;1976;0;0;34;10;1,2227;2,45;2223;39;7;6,0468;16308;0,6915;0;10;7,5;1;4;1156;0;16,308
"288-1";1;2012;0;2;34;12;2,6839;3,61;2666;34;10;1,3653;9300;0,7515;7;7;7,5;1;14;1156;1;9,3
"289-1";1;561;0;1;41;12;2,6738;3,25;2006;41;17;16,55;35700;0,5515;10;9;7,5;1;19;1681;1;35,7
"290-1";1;1715;0;1;49;12;9,3294;7,05;1710;49;17;8,7719;35700;0,64;9;9;11;1;18;2401;1;35,7
"291-1";1;1912;0;0;32;12;3,1381;3,6;1920;46;14;9,6354;24500;0,6615;12;12;5;1;14;1024;0;24,5
"292-1";1;3686;0;0;32;14;0,5426;0;1647;39;14;6,6788;13000;0,7215;12;12;7,5;1;11;1024;0;13
"293-1";1;1080;0;2;32;17;8,6111;4,65;3080;35;15;7,5727;52600;0,4415;12;12;5;0;4;1024;1;52,6
"294-1";1;1799;0;0;47;10;3,6687;3,25;1920;48;10;7,8125;25360;0,6615;3;7;7,5;1;29;2209;0;25,36
"295-1";1;1984;0;1;39;9;2,3185;2,3;2420;47;4;1,9835;9400;0,7515;9;9;7,5;0;21;1521;1;9,4
"296-1";1;1839;0;0;49;12;2,882;3,27;2205;53;15;9,5238;26800;0,6215;12;12;11;1;24;2401;0;26,8
"297-1";1;1579;0;3;37;12;3,1666;0;3035;39;14;6,425;33040;0,6615;12;7;7,5;1;19;1369;1;33,04
"298-1";1;96;0;0;59;16;3,6458;0;2185;60;15;10,984;26350;0,6215;14;12;7,5;1;31;3481;0;26,35
"299-1";1;1920;0;0;50;12;6,25;5,47;1880;56;12;12,766;39000;0,5215;7;7;14;1;28;2500;0;39
"300-1";1;1688;0;1;32;17;10,249;9,8;1863;33;17;9,5545;35100;0,61;12;12;9,5;1;15;1024;1;35,1
"301-1";1;1589;0;0;46;12;3,2096;5,54;2456;48;16;5,4967;22502;0,6615;12;12;11;0;27;2116;0;22,502
"302-1";1;345;0;2;43;17;7,6522;5;1847;46;17;9,7618;21950;0,6915;12;14;14;0;13;1849;1;21,95
"303-1";1;1521;0;3;37;11;1,9724;2,3;2000;42;6;5;13000;0,7515;7;7;7,5;0;4;1369;1;13
"304-1";1;1490;0;2;32;16;4,698;3,9;1856;35;14;5,9995;18180;0,7215;12;14;9;1;10;1024;1;18,18
"305-1";1;989;0;1;39;11;2,1234;2,76;1880;43;14;6,9149;20957;0,6915;10;10;9;1;8;1521;1;20,957
"306-1";1;600;0;2;34;13;2,3333;2,9;3020;35;12;4,9669;13700;0,7215;12;12;7,5;0;4;1156;1;13,7
"307-1";1;2646;0;1;39;11;2,3896;0;2646;41;8;2,3896;20000;0,6915;7;7;5;1;18;1521;1;20
"308-1";1;2149;0;3;45;8;1,2564;2,5;1640;48;9;4,5122;12260;0,7515;7;7;5;1;3;2025;1;12,26
"309-1";1;320;0;0;50;11;1,0938;0;1950;54;11;9,2308;24850;0,6615;3;12;7,5;1;11;2500;0;24,85
"310-1";1;1600;0;1;40;12;3,75;3,3;1920;39;12;11,458;29150;0,5815;12;7;7,5;1;8;1600;1;29,15
"311-1";1;2419;0;1;30;10;3,3072;3,9;2025;34;12;7,6993;23591;0,6615;7;7;11;1;10;900;1;23,591
"312-1";1;2005;0;0;57;17;5,1352;5,25;2470;56;17;4,183;24717;0,6615;16;12;11;1;33;3249;0;24,717
"313-1";1;1960;0;1;39;12;6,6327;3,6;1800;43;12;8,3333;30455;0,6215;12;12;9;1;19;1521;1;30,455
"314-1";1;2147;0;0;53;12;4,5645;4,9;1920;56;8;5,1042;19600;0,6915;12;12;7,5;1;35;2809;0;19,6
"315-1";1;1207;0;1;48;17;11,848;7,15;2039;53;17;8,2271;31875;0,64;7;12;5;1;21;2304;1;31,875
"316-1";1;2000;0;1;46;14;3,75;3,75;2570;48;16;5,6634;24055;0,6615;14;14;7,5;0;7;2116;1;24,055
"317-1";1;1260;0;0;47;12;4,3651;4,35;1914;54;12;5,222;18795;0,7215;7;10;7,5;0;18;2209;0;18,795
"318-1";1;90;0;1;43;12;3,9333;4;1516;47;10;7,19;12198;0,7515;7;7;7,5;0;4;1849;1;12,198
"319-1";1;1800;0;0;47;12;3,3333;3,25;2520;47;16;13,907;52645;0,4915;12;7;7,5;1;12;2209;0;52,645
"320-1";1;573;0;1;47;12;3,3159;2,2;2327;48;12;6,0163;16600;0,7215;10;7;14;0;16;2209;1;16,6
"321-1";1;1825;0;0;47;12;3,5616;3;2188;50;12;7,6782;32590;0,6215;7;7;7,5;1;14;2209;0;32,59
"322-1";1;75;0;0;46;12;1,6;0;1864;48;12;5,3112;10020;0,7515;3;7;7,5;1;3;2116;0;10,02
"323-1";1;1348;0;4;34;9;2,2255;2,3;2183;33;10;4,1228;12048;0,7515;7;7;11;0;1;1156;1;12,048
"324-1";1;1880;0;0;48;10;4,7872;4,25;1920;55;12;7,8125;39750;0,6215;7;7;11;0;27;2304;0;39,75
"325-1";1;1240;0;1;30;12;5,8065;6,9;1824;31;12;4,6053;15700;0,7215;10;7;7,5;1;12;900;1;15,7
"326-1";1;848;0;1;51;12;2,3585;2,3;2878;54;12;3,9746;24250;0,6615;7;7;3;0;6;2601;1;24,25
"327-1";1;150;0;5;52;12;2;0;2390;54;16;15,063;43210;0,5215;7;12;14;1;9;2704;1;43,21
"328-1";1;2000;0;2;37;12;1,9;1,85;3120;39;13;4,5064;37100;0,6215;12;12;5;0;2;1369;1;37,1
"329-1";1;1952;0;2;32;12;5,123;3,25;2040;33;12;5,8824;23820;0,6615;12;7;5;0;6;1024;1;23,82
"330-1";1;1456;0;2;36;17;5,4945;6,04;2151;35;15;10,228;31600;0,5815;12;14;5;1;9;1296;1;31,6
"331-1";1;1740;0;2;35;12;6,3218;5,5;1976;37;14;6,5789;24000;0,6615;10;10;7,5;1;16;1225;1;24
"332-1";1;1400;0;0;45;17;7,1429;7,14;2286;51;16;8,8145;30750;0,5815;14;12;5;0;22;2025;0;30,75
"333-1";1;2000;0;0;56;12;2,375;2,7;2032;60;10;2,9528;11050;0,7515;7;7;14;0;26;3136;0;11,05
"334-1";1;1750;0;2;40;10;2,5429;2,74;1680;45;4;4,5173;12239;0,7515;7;7;14;0;11;1600;1;12,239
"335-1";1;1101;1;2;45;12;2,1798;2,3;1560;49;14;5,1282;12870;0,7515;14;12;7,5;1;11;2025;1;12,87
"336-1";1;2000;0;2;32;12;2,6;2,5;2895;30;12;4,1451;17200;0,7215;10;7;7,5;0;15;1024;1;17,2
"337-1";1;1877;0;0;45;12;3,7294;3,6;1820;50;8;8,7912;23980;0,6615;10;10;7,5;0;13;2025;0;23,98
"338-1";1;160;0;2;40;12;4,375;1,85;2450;44;12;7,3061;18600;0,6915;7;12;14;1;6;1600;1;18,6
"339-1";1;1886;0;1;38;12;4,4433;4;1748;42;8;6,0069;23920;0,6915;7;10;9,5;1;20;1444;1;23,92
"340-1";1;1446;0;4;49;12;4,2877;4,4;1020;45;12;8,3333;16084;0,7515;7;7;14;1;17;2401;1;16,084
"341-1";1;1500;0;1;47;16;1,6667;1,5;2342;49;17;11,529;31100;0,5815;14;14;11;1;8;2209;1;31,1
"342-1";1;860;0;0;52;13;3,2558;5,83;2250;53;12;6,6667;20460;0,6615;7;7;11;1;13;2704;0;20,46
"343-1";1;1848;0;1;34;13;5,4113;6;2880;40;16;8,6806;36000;0,5515;12;12;7,5;1;15;1156;1;36
"344-1";1;1678;0;2;44;12;2,205;2,3;2032;46;12;3,468;17302;0,7215;14;12;3;0;14;1936;1;17,302
"345-1";1;160;0;3;36;16;4,0625;0;3120;42;16;3,0321;16450;0,7215;14;7;3;0;14;1296;1;16,45
"346-1";1;108;0;0;50;17;0,6482;0;1760;57;16;13,807;41170;0,5815;14;16;9,5;1;6;2500;0;41,17
"347-1";1;1738;0;0;45;12;5,3826;6,18;1725;47;12;6,2174;20130;0,6615;0;0;7,5;1;24;2025;0;20,13
"348-1";1;1170;0;2;44;14;0,1709;0;2080;46;13;4,2308;9200;0,7515;16;12;9,5;1;10;1936;1;9,2
"349-1";1;15;0;2;57;12;23,467;0;2040;57;10;11,47;24751;0,6615;7;7;11;1;2;3249;1;24,751
"350-1";1;2088;0;0;35;17;9,5785;9,98;2940;42;17;12,245;57300;0,5;12;17;9,5;1;9;1225;0;57,3
"351-1";1;2490;0;0;46;12;3,6948;3,77;2280;52;12;9,2105;37200;0,5815;7;7;7,5;1;23;2116;0;37,2
"352-1";1;135;2;1;30;14;2,2222;0;2164;35;16;6,3309;14000;0,7215;10;12;14;1;12;900;1;14
"353-1";1;1944;0;3;42;12;1,749;2,3;1999;44;12;7,8039;20610;0,6915;7;3;14;0;8;1764;1;20,61
"354-1";1;690;0;1;34;12;1,1594;2,25;1824;36;13;7,6754;14800;0,7215;10;7;7,5;1;16;1156;1;14,8
"355-1";1;608;0;2;45;17;6,9901;3;2182;47;16;15,582;40005;0,5515;10;14;14;1;10;2025;1;40,005
"356-1";1;63;1;2;35;16;3,9683;0;2385;37;16;9,6436;23750;0,6615;14;7;14;1;7;1225;1;23,75
"357-1";1;154;0;0;40;16;21,429;8,13;2460;44;17;12,886;35300;0,5515;7;12;14;1;19;1600;0;35,3
"358-1";1;420;0;1;32;12;0,4762;2,85;2595;35;16;6,5511;17350;0,6915;12;12;7,5;1;2;1024;1;17,35
"359-1";1;651;0;0;54;9;2,1505;1,44;2400;57;10;8,25;21650;0,6615;7;7;7,5;1;9;2916;0;21,65
